POS,Name,OVR,CType,CYear,CTM,CON/STU,POW/MOV,EYE/CON,FLD/STA,L10,SELL,MC,St,Act/Deact,QS,Sell
RP,Sean Manaea,69,2024 MLB,2024,New York Mets,84,69,83,67,44,0,2,Inactive,Activate,QS 25,Sell
SP,Sean Manaea,74,SE,2016,Oakland Athletics,76,72,95,61,269,0,0,Reserve,Deactivate,QS 100,Sell
CF,Billy Maloney,40,UnH,1907,Brooklyn Superbas,52,32,69,82,19,0,0,Inactive,Activate,QS 5,Sell
CF,Billy Maloney,40,UnH,1907,Brooklyn Superbas,52,32,69,82,19,0,0,Inactive,Activate,QS 5,Sell
C,Martin Maldonado,46,2024 MLB,2024,Chicago White Sox,51,74,72,73,11,0,2,Inactive,Activate,Locked,
C,Luke Maile,54,2024 MLB,2024,Cincinnati Reds,63,54,74,63,9,0,3,Inactive,Activate,Locked,
CF,Mikie Mahtook,55,Snapshot,2017,Detroit Tigers,70,64,62,49,32,0,0,Inactive,Activate,QS 5,Sell
2B,Nick Madrigal,77,2024 MLB,2024,Chicago Cubs,81,15,57,79,569,0,2,Reserve,Deactivate,Locked,
2B,Reddy Mack,63,UnH,1887,Louisville Colonels,81,25,110,53,41,0,0,Inactive,Activate,QS 25,Sell
SP,Daniel Lynch,61,2024 MLB,2024,Kansas City Royals,74,70,78,68,54,0,2,Inactive,Activate,Locked,
SP,Jordan Lyles,50,2024 MLB,2024,Kansas City Royals,57,64,85,67,11,0,2,Inactive,Activate,Locked,
2B,Gavin Lux,68,2024 MLB,2024,Los Angeles Dodgers,68,44,76,80,47,0,2,Inactive,Activate,QS 25,Sell
RF,Jordan Luplow,55,2024 MLB,2024,Atlanta Braves,58,79,82,65,8,0,2,Inactive,Activate,QS 5,Sell
RF,Jordan Luplow,71,Snapshot,2019,Cleveland,62,80,93,77,236,0,0,Inactive,Activate,QS 100,Sell
CF,Nathan Lukes,68,2024 MLB,2024,Toronto Blue Jays,76,34,65,67,61,0,3,Inactive,Activate,Locked,
SP,Urbano Lugo,40,RS,1985,California Angels,49,70,67,62,25,0,0,Inactive,Activate,QS 5,Sell
RP,Seth Lugo,55,Snapshot,2021,New York Mets,74,72,58,12,18,0,0,Inactive,Activate,QS 5,Sell
SP,Seth Lugo,75,2024 MLB,2024,Kansas City Royals,75,71,85,52,321,0,2,Reserve,Deactivate,Locked,
RP,Lucas Luetge,46,2024 MLB,2024,Boston Red Sox,64,62,79,18,11,0,3,Inactive,Activate,Locked,
SP,Joey Lucchesi,51,2024 MLB,2024,New York Mets,60,69,65,52,12,0,2,Inactive,Activate,QS 5,Sell
CL,Gary Lucas,63,Snapshot,1983,San Diego Padres,69,72,74,18,50,0,0,Inactive,Activate,QS 25,Sell
CL,Gary Lucas,63,Snapshot,1983,San Diego Padres,69,72,74,18,50,0,0,Inactive,Activate,QS 25,Sell
3B,Hal Luby,56,RS,1944,New York Giants,69,40,105,62,17,0,0,Inactive,Activate,QS 5,Sell
SP,Rodrigo Lopez,62,Peak,2002,Baltimore Orioles,51,72,74,62,41,0,0,Inactive,Activate,QS 25,Sell
SP,Rodrigo Lopez,62,Peak,2002,Baltimore Orioles,51,72,74,62,41,0,0,Inactive,Activate,QS 25,Sell
CL,Reynaldo Lopez,67,2024 MLB,2024,Atlanta Braves,91,73,67,20,66,0,2,Inactive,Activate,QS 25,Sell
SS,Nicky Lopez,86,SE,2021,Kansas City Royals,108,7,63,107,1 826,0,0,Reserve,Deactivate,QS 1 000,Sell
2B,Nicky Lopez,48,2024 MLB,2024,Chicago White Sox,66,9,72,105,9,0,2,Inactive,Activate,Locked,
RP,Jorge Lopez,66,2024 MLB,2024,New York Mets,70,75,76,22,44,0,2,Inactive,Activate,Locked,
RP,Braden Looper,58,RS,1999,Florida Marlins,40,79,76,14,81,0,1,Inactive,Activate,Locked,
RP,Braden Looper,58,RS,1999,Florida Marlins,40,79,76,14,81,0,1,Inactive,Activate,QS 5,Sell
1B,James Loney,53,Snapshot,2014,Tampa Bay Rays,80,39,59,54,25,0,0,Inactive,Activate,QS 5,Sell
RP,Jonathan Loaisiga,84,2024 MLB,2024,New York Yankees,64,85,87,24,6 364,0,3,Inactive,Activate,QS 1 000,Sell
RP,Mauricio Llovera,52,2024 MLB,2024,Seattle Mariners,75,68,75,24,9,0,2,Inactive,Activate,Locked,
SP,Ben Lively,62,2024 MLB,2024,Cleveland Guardians,77,70,81,63,44,0,2,Inactive,Activate,Locked,
SS,Bryan Little,63,RS,1983,Montreal Expos,75,19,94,64,42,0,0,Inactive,Activate,QS 25,Sell
SS,Pat Listach,62,RS,1992,Milwaukee Brewers,76,19,75,67,40,0,0,Inactive,Activate,QS 25,Sell
SP,Francisco Liriano,44,Snapshot,2016,Pittsburgh Pirates,72,72,36,56,16,0,0,Inactive,Activate,QS 5,Sell
SP,Francisco Liriano,44,Snapshot,2016,Pittsburgh Pirates,72,72,36,56,16,0,0,Inactive,Activate,QS 5,Sell
SS,Johnny Lipon,78,Snapshot,1948,Detroit Tigers,79,48,80,68,256,0,0,Inactive,Activate,QS 100,Sell
2B,Larry Lintz,47,RS,1974,Montreal Expos,57,15,92,48,16,0,0,Inactive,Activate,QS 5,Sell
SP,Brad Lincoln,73,Snapshot,2012,Pittsburgh Pirates,71,69,79,53,263,0,0,Reserve,Deactivate,QS 100,Sell
LF,Jeff Liefer,46,Snapshot,2001,Chicago White Sox,50,97,67,64,15,0,0,Inactive,Activate,QS 5,Sell
RP,Dutch Lieber,63,RS,1935,Philadelphia Athletics,50,91,49,24,41,0,0,Inactive,Activate,QS 25,Sell
SP,Don Liddle,73,Snapshot,1954,New York Giants,45,102,52,63,245,0,0,Inactive,Activate,QS 100,Sell
SP,Matthew Liberatore,60,2024 MLB,2024,St. Louis Cardinals,75,72,68,65,58,0,2,Inactive,Activate,Locked,
RP,Alan Levine,53,Snapshot,1999,Anaheim Angels,34,78,73,20,95,0,1,Inactive,Activate,Locked,
SS,Jim Levey,41,UnH,1932,St. Louis Browns,69,39,53,46,14,0,0,Inactive,Activate,QS 5,Sell
SP,Dixie Leverett,63,RS,1922,Chicago White Sox,48,77,63,95,57,0,0,Inactive,Activate,QS 25,Sell
RF,Jeffrey Leonard,50,Snapshot,1979,Houston Astros,72,10,71,58,25,0,0,Inactive,Activate,QS 5,Sell
C,Sandy Leon,87,UnH,2016,Boston Red Sox,88,55,69,71,0,0,0,Reserve,Deactivate,,Sell
SS,Johnnie LeMaster,41,UnH,1983,San Francisco Giants,59,40,77,67,17,0,0,Inactive,Activate,QS 5,Sell
3B,DJ LeMahieu,73,2024 MLB,2024,New York Yankees,70,45,77,68,598,0,2,Reserve,Deactivate,QS 100,Sell
RP,Mark Leiter Jr.,67,2024 MLB,2024,Chicago Cubs,90,72,73,21,57,0,2,Inactive,Activate,Locked,
LF,Nemo Leibold,47,Snapshot,1918,Chicago White Sox,60,23,82,73,52,0,0,Inactive,Activate,QS 5,Sell
RP,Casey Legumina,47,2024 MLB,2024,Cincinnati Reds,65,65,69,43,10,0,2,Inactive,Activate,Locked,
LF,Leron Lee,50,Snapshot,1971,San Diego Padres,65,57,58,59,17,0,0,Inactive,Activate,QS 5,Sell
RP,Dylan Lee,72,2024 MLB,2024,Atlanta Braves,88,70,91,18,1 066,0,2,Inactive,Activate,QS 100,Sell
1B,Cliff Lee,49,UnH,1921,Philadelphia Phillies,62,75,52,54,47,0,0,Inactive,Activate,QS 5,Sell
SP,Bill Lee,61,Snapshot,1981,Montreal Expos,38,75,119,54,89,0,0,Inactive,Activate,QS 25,Sell
CF,Ricky Ledee,46,Snapshot,2003,Philadelphia Phillies,51,78,77,64,30,0,0,Inactive,Activate,QS 5,Sell
RP,Jose Leclerc,69,2024 MLB,2024,Texas Rangers,106,74,63,14,50,0,2,Inactive,Activate,Locked,
SP,Mike Leake,61,Snapshot,2015,Cincinnati Reds,40,78,76,66,58,0,0,Inactive,Activate,QS 25,Sell
CL,Justin Lawrence,81,2024 MLB,2024,Colorado Rockies,91,99,60,14,1 194,0,2,Reserve,Deactivate,QS 1 000,Sell
RP,Derek Law,44,2024 MLB,2024,Washington Nationals,70,65,64,16,12,0,2,Inactive,Activate,Locked,
RP,Gary Lavelle,59,RS,1975,San Francisco Giants,67,73,52,15,19,0,0,Inactive,Activate,QS 5,Sell
RP,Gary Lavelle,59,RS,1975,San Francisco Giants,67,73,52,15,19,0,0,Inactive,Activate,QS 5,Sell
C,Mike LaValliere,87,SE,1987,Pittsburgh Pirates,97,10,87,98,2 204,0,0,Reserve,Deactivate,QS 1 000,Sell
CF,Ramon Laureano,73,Snapshot,2021,Oakland Athletics,64,73,74,74,326,0,0,Inactive,Activate,QS 100,Sell
RF,Ramon Laureano,67,2024 MLB,2024,Cleveland Guardians,63,76,71,85,50,0,2,Inactive,Activate,Locked,
SP,Eric Lauer,72,2024 MLB,2024,Pittsburgh Pirates,81,68,76,59,345,0,2,Reserve,Deactivate,Locked,
RP,Tommy Lasorda,40,Peak,1956,Kansas City Athletics,76,69,8,17,117,0,1,Inactive,Activate,Locked,
LF,Trevor Larnach,63,2024 MLB,2024,Minnesota Twins,70,73,83,59,59,0,2,Inactive,Activate,Locked,
RP,Paul LaPalme,68,Snapshot,1955,St. Louis Cardinals,53,75,79,20,300,0,2,Inactive,Activate,QS 25,Sell
LF,Ray Lankford,46,Snapshot,2001,St. Louis Cardinals,54,77,94,59,51,0,0,Inactive,Activate,QS 5,Sell
SP,Mark Langston,65,All-Star,1991,California Angels,75,72,55,80,76,0,0,Inactive,Activate,QS 25,Sell
C,Shea Langeliers,74,2024 MLB,2024,Oakland Athletics,61,85,66,67,326,0,2,Inactive,Activate,Locked,
CF,Jim Landis,58,All-Star,1962,Chicago White Sox,49,70,97,92,19,0,0,Inactive,Activate,QS 5,Sell
SP,Peter Lambert,62,2024 MLB,2024,Colorado Rockies,72,71,78,64,61,0,2,Inactive,Activate,Locked,
RP,Jimmy Lambert,42,2024 MLB,2024,Chicago White Sox,76,64,58,24,11,0,2,Inactive,Activate,Locked,
RP,Ray Lamb,49,RS,1970,Los Angeles Dodgers,52,71,66,20,17,0,0,Inactive,Activate,QS 5,Sell
C,Al Lakeman,46,UnH,1945,Cincinnati Reds,50,94,58,34,21,0,0,Inactive,Activate,QS 5,Sell
LF,Steven Kwan,76,2024 MLB,2024,Cleveland Guardians,78,29,76,84,1 096,0,2,Reserve,Deactivate,Locked,
1B,Craig Kusick,48,Snapshot,1977,Minnesota Twins,52,83,107,67,22,0,0,Inactive,Activate,QS 5,Sell
SP,Chad Kuhl,49,Snapshot,2017,Pittsburgh Pirates,57,72,52,54,31,0,0,Inactive,Activate,QS 5,Sell
SP,Chad Kuhl,49,Snapshot,2017,Pittsburgh Pirates,57,72,52,54,31,0,0,Inactive,Activate,QS 5,Sell
SP,Johnny Kucks,41,Snapshot,1959,Kansas City Athletics,37,76,74,57,23,0,0,Inactive,Activate,QS 5,Sell
SP,Mike Krukow,53,Snapshot,1979,Chicago Cubs,79,62,49,67,16,0,0,Inactive,Activate,QS 5,Sell
SS,Ryan Kreidler,66,2024 MLB,2024,Detroit Tigers,59,64,74,79,77,0,2,Inactive,Activate,Locked,
SP,Michael Kopech,67,2024 MLB,2024,Chicago White Sox,100,75,59,54,78,0,2,Inactive,Activate,Locked,
CL,Danny Kolb,69,All-Star,2004,Milwaukee Brewers,27,109,78,11,88,0,0,Inactive,Activate,QS 25,Sell
LF,Dick Kokos,42,Snapshot,1953,St. Louis Browns,48,87,106,61,23,0,0,Inactive,Activate,QS 5,Sell
SP,Kevin Kobel,59,UnH,1979,New York Mets,41,75,77,64,34,0,0,Inactive,Activate,QS 5,Sell
C,Andrew Knizner,59,2024 MLB,2024,Texas Rangers,60,64,64,51,11,0,2,Inactive,Activate,Locked,
SP,Chris Knapp,52,UnH,1978,California Angels,76,58,65,73,14,0,0,Inactive,Activate,QS 5,Sell
SS,Billy Klaus,49,Snapshot,1957,Boston Red Sox,62,58,77,55,28,0,0,Inactive,Activate,QS 5,Sell
SS,Billy Klaus,49,Snapshot,1957,Boston Red Sox,62,58,77,55,28,0,0,Inactive,Activate,QS 5,Sell
C,Ed Kirkpatrick,60,Peak,1972,Kansas City Royals,55,77,72,24,65,0,0,Inactive,Activate,QS 25,Sell
DH,Alex Kirilloff,61,2024 MLB,2024,Minnesota Twins,68,75,68,-,60,0,2,Inactive,Activate,Locked,
RP,Tyler Kinley,51,2024 MLB,2024,Colorado Rockies,74,67,74,14,9,0,2,Inactive,Activate,Locked,
CF,Lee King,47,UnH,1920,New York Giants,52,100,68,38,88,0,2,Inactive,Activate,QS 5,Sell
RP,John King,86,2024 MLB,2024,St. Louis Cardinals,53,101,89,23,1 848,0,2,Reserve,Deactivate,Locked,
3B,Isiah Kiner-Falefa,63,2024 MLB,2024,Toronto Blue Jays,72,24,63,85,41,0,2,Inactive,Activate,Locked,
CL,Craig Kimbrel,80,2024 MLB,2024,Baltimore Orioles,111,76,72,19,1 802,0,2,Active,Deactivate,Locked,
SP,Yusei Kikuchi,65,2024 MLB,2024,Toronto Blue Jays,87,68,76,66,62,0,3,Inactive,Activate,Locked,
CF,Kevin Kiermaier,70,2024 MLB,2024,Toronto Blue Jays,66,38,67,98,522,0,2,Inactive,Activate,Locked,
3B,Carter Kieboom,53,2024 MLB,2024,Washington Nationals,60,55,77,59,10,0,2,Inactive,Activate,Locked,
SS,Grae Kessinger,42,2024 MLB,2024,Houston Astros,58,51,75,64,9,0,2,Inactive,Activate,Locked,
RP,Ray Kerr,57,2024 MLB,2024,Atlanta Braves,99,72,57,21,8,0,2,Inactive,Activate,QS 5,Sell
RF,John Kerins,66,Snapshot,1888,Louisville Colonels,64,64,68,51,44,0,0,Inactive,Activate,QS 25,Sell
SP,Kurt Kepshire,63,RS,1984,St. Louis Cardinals,64,78,50,75,273,0,1,Inactive,Activate,Locked,
RF,Max Kepler,77,2024 MLB,2024,Minnesota Twins,62,86,78,88,368,0,2,Reserve,Deactivate,QS 100,Sell
3B,Buddy Kennedy,51,2024 MLB,2024,Detroit Tigers,62,38,77,40,10,0,2,Inactive,Activate,Locked,
RF,Bob Kennedy,69,UnH,1949,Cleveland,65,73,56,103,122,0,1,Inactive,Activate,QS 25,Sell
C,Jason Kendall,62,RS,1996,Pittsburgh Pirates,85,26,69,43,45,0,0,Inactive,Activate,QS 25,Sell
RP,Zack Kelly,40,2024 MLB,2024,Boston Red Sox,73,67,49,20,9,0,2,Inactive,Activate,Locked,
RP,Michael Kelly,54,2024 MLB,2024,Oakland Athletics,82,70,64,19,9,0,2,Inactive,Activate,Locked,
C,Carson Kelly,50,2024 MLB,2024,Detroit Tigers,59,64,76,69,10,0,2,Inactive,Activate,Locked,
SP,Alex Kellner,57,Snapshot,1952,Philadelphia Athletics,56,71,69,84,35,0,0,Inactive,Activate,QS 5,Sell
RP,Dick Kelley,64,Snapshot,1971,San Diego Padres,71,72,67,14,59,0,0,Inactive,Activate,QS 25,Sell
SP,Mitch Keller,68,2024 MLB,2024,Pittsburgh Pirates,86,68,83,69,67,0,2,Inactive,Activate,Locked,
SP,Tim Keefe,51,Snapshot,1882,Troy Trojans,57,74,45,111,14,0,0,Inactive,Activate,QS 5,Sell
C,Bob Kearney,51,RS,1983,Oakland Athletics,53,77,62,65,17,0,0,Inactive,Activate,QS 5,Sell
SP,Kenshin Kawakami,62,RS,2009,Atlanta Braves,46,79,64,59,270,0,1,Inactive,Activate,QS 25,Sell
SP,Tony Kaufmann,57,Snapshot,1924,Chicago Cubs,68,60,64,88,63,0,1,Inactive,Activate,QS 5,Sell
SP,Tony Kaufmann,57,Snapshot,1924,Chicago Cubs,68,60,64,88,63,0,1,Inactive,Activate,QS 5,Sell
C,Ron Karkovice,55,Snapshot,1993,Chicago White Sox,39,84,63,88,23,0,0,Inactive,Activate,QS 5,Sell
RP,James Karinchak,60,2024 MLB,2024,Cleveland Guardians,127,74,42,14,48,0,2,Inactive,Activate,Locked,
CF,John Kane,45,UnH,1908,Cincinnati Reds,52,80,85,59,19,0,0,Inactive,Activate,QS 5,Sell
3B,Willie Kamm,57,Snapshot,1928,Chicago White Sox,78,25,77,57,26,0,0,Inactive,Activate,QS 5,Sell
SP,Scott Kamieniecki,58,Snapshot,1997,Baltimore Orioles,45,79,62,65,34,0,0,Inactive,Activate,QS 5,Sell
CF,Al Kaline,96,SE,1959,Detroit Tigers,111,82,102,80,8 147,0,0,Active,Deactivate,QS 4 000,Sell
RP,Tommy Kahnle,65,2024 MLB,2024,New York Yankees,105,71,65,13,52,0,2,Inactive,Activate,QS 25,Sell
RP,Jakob Junis,58,2024 MLB,2024,Milwaukee Brewers,76,62,87,51,8,0,2,Inactive,Activate,Locked,
3B,Josh Jung,76,2024 MLB,2024,Texas Rangers,71,81,59,70,666,0,2,Inactive,Activate,Locked,
CF,Corey Julks,66,2024 MLB,2024,Houston Astros,66,64,69,67,81,0,2,Inactive,Activate,Locked,
RP,Jeff Juden,67,UnH,1996,San Francisco Giants,73,80,50,16,50,0,0,Inactive,Activate,QS 25,Sell
RP,Jeff Juden,67,UnH,1996,San Francisco Giants,73,80,50,16,50,0,0,Inactive,Activate,QS 25,Sell
RP,Jeff Juden,67,UnH,1996,San Francisco Giants,73,80,50,16,50,0,0,Inactive,Activate,QS 25,Sell
RP,Ben Joyce,49,2024 MLB,2024,Los Angeles Angels,82,70,59,17,10,0,2,Inactive,Activate,Locked,
C,Duane Josephson,63,Snapshot,1970,Chicago White Sox,100,38,65,37,75,0,0,Inactive,Activate,QS 25,Sell
1B,Ricky Jordan,56,Snapshot,1992,Philadelphia Phillies,82,50,25,75,23,0,0,Inactive,Activate,QS 5,Sell
1B,Buck Jordan,55,UnH,1934,Boston Braves,87,27,57,61,23,0,0,Inactive,Activate,QS 5,Sell
RP,Todd Jones,40,Snapshot,2001,Detroit Tigers,60,50,59,12,20,0,0,Inactive,Activate,QS 5,Sell
1B,Nippy Jones,42,UnH,1948,St. Louis Cardinals,61,75,58,32,17,0,0,Inactive,Activate,QS 5,Sell
RP,Nate Jones,54,Peak,2016,Chicago White Sox,75,75,53,12,15,0,0,Inactive,Activate,QS 5,Sell
RP,Nate Jones,54,Peak,2016,Chicago White Sox,75,75,53,12,15,0,0,Inactive,Activate,QS 5,Sell
RF,Mack Jones,45,RS,1962,Milwaukee Braves,60,76,88,45,424,0,0,Inactive,Activate,QS 5,Sell
3B,Chipper Jones,62,RS,1995,Atlanta Braves,59,78,83,68,132,0,0,Inactive,Activate,QS 25,Sell
RF,Reed Johnson,64,Snapshot,2011,Chicago Cubs,85,53,54,56,85,0,0,Inactive,Activate,QS 25,Sell
CL,Pierce Johnson,49,2024 MLB,2024,Atlanta Braves,125,56,56,14,10,0,2,Inactive,Activate,QS 5,Sell
1B,Lamar Johnson,64,Snapshot,1976,Chicago White Sox,80,76,67,65,67,0,0,Inactive,Activate,QS 25,Sell
1B,Connor Joe,60,2024 MLB,2024,Pittsburgh Pirates,65,59,83,49,62,0,2,Inactive,Activate,Locked,
RP,Joe Jimenez,68,2024 MLB,2024,Atlanta Braves,113,64,80,13,89,0,2,Inactive,Activate,QS 25,Sell
RP,Dany Jimenez,47,2024 MLB,2024,Oakland Athletics,104,69,40,20,17,0,2,Inactive,Activate,Locked,
2B,D'Angelo Jimenez,55,Snapshot,2004,Cincinnati Reds,67,52,87,60,51,0,0,Inactive,Activate,QS 5,Sell
CF,Sam Jethroe,53,HaH,1951,Boston Braves,57,78,75,51,16,0,0,Inactive,Activate,QS 5,Sell
SS,Steve Jeltz,49,UnH,1989,Philadelphia Phillies,59,53,97,58,18,0,0,Inactive,Activate,QS 5,Sell
C,Ryan Jeffers,63,2024 MLB,2024,Minnesota Twins,62,81,75,57,76,0,2,Inactive,Activate,Locked,
RP,Griffin Jax,79,2024 MLB,2024,Minnesota Twins,80,75,80,21,419,0,2,Reserve,Deactivate,QS 100,Sell
SP,Bryce Jarvis,64,2024 MLB,2024,Arizona Diamondbacks,74,73,68,58,57,0,2,Active,Deactivate,Locked,
2B,Hal Janvrin,42,UnH,1914,Boston Red Sox,60,36,64,49,21,0,0,Inactive,Activate,QS 5,Sell
CF,Travis Jankowski,67,2024 MLB,2024,Texas Rangers,66,9,93,82,57,0,2,Inactive,Activate,Locked,
SP,Chuck James,61,RS,2006,Atlanta Braves,61,73,54,59,39,0,0,Inactive,Activate,QS 25,Sell
RP,Joe Jacques,46,2024 MLB,2024,Boston Red Sox,58,71,72,21,8,0,2,Inactive,Activate,Locked,
3B,Brook Jacoby,55,All-Star,1986,Cleveland,70,69,68,50,45,0,0,Inactive,Activate,QS 5,Sell
RP,Zach Jackson,47,2024 MLB,2024,Oakland Athletics,107,67,43,22,11,0,2,Inactive,Activate,Locked,
RP,Jay Jackson,67,2024 MLB,2024,Minnesota Twins,89,68,84,16,63,0,2,Inactive,Activate,Locked,
3B,Ray Jablonski,47,RS,1953,St. Louis Cardinals,59,77,53,38,18,0,0,Inactive,Activate,QS 5,Sell
1B,Mike Ivie,63,Snapshot,1979,San Francisco Giants,54,107,74,63,56,0,0,Inactive,Activate,QS 25,Sell
SP,Jason Isringhausen,72,RS,1995,New York Mets,44,91,69,72,368,0,0,Reserve,Deactivate,QS 100,Sell
SP,Kazuhisa Ishii,42,UnH,2003,Los Angeles Dodgers,97,78,17,59,112,0,1,Inactive,Activate,QS 5,Sell
2B,Frank Isbell,65,UnH,1905,Chicago White Sox,78,77,55,44,43,0,0,Inactive,Activate,QS 25,Sell
CF,Kyle Isbel,72,2024 MLB,2024,Kansas City Royals,68,55,65,91,368,0,2,Reserve,Deactivate,Locked,
SS,Arthur Irwin,66,UnH,1884,Providence Grays,59,51,75,83,85,0,0,Inactive,Activate,QS 25,Sell
SP,Jake Irvin,62,2024 MLB,2024,Washington Nationals,76,71,74,58,84,0,2,Inactive,Activate,Locked,
SP,Cole Irvin,67,2024 MLB,2024,Baltimore Orioles,67,70,96,72,67,0,2,Inactive,Activate,Locked,
SP,Bert Inks,51,UnH,1894,Baltimore Orioles,47,71,63,98,22,0,0,Inactive,Activate,QS 5,Sell
CF,Ender Inciarte,83,Peak,2017,Atlanta Braves,81,32,62,115,1 740,0,0,Inactive,Activate,QS 1 000,Sell
LF,Pete Incaviglia,40,Snapshot,1989,Texas Rangers,51,93,70,69,19,0,0,Inactive,Activate,QS 5,Sell
2B,Tadahito Iguchi,70,RS,2005,Chicago White Sox,70,72,74,70,912,0,1,Inactive,Activate,QS 100,Sell
CL,Raisel Iglesias,68,Snapshot,2018,Cincinnati Reds,76,71,60,13,39,0,0,Inactive,Activate,QS 25,Sell
CL,Raisel Iglesias,68,Snapshot,2018,Cincinnati Reds,76,71,60,13,39,0,0,Inactive,Activate,QS 25,Sell
2B,Andy Ibanez,68,2024 MLB,2024,Detroit Tigers,73,58,65,68,48,0,2,Inactive,Activate,Locked,
CL,Dick Hyde,89,UnH,1958,Washington Senators,47,116,74,24,2 359,0,0,Reserve,Deactivate,QS 1 000,Sell
1B,Butch Huskey,53,Snapshot,1996,New York Mets,65,74,53,56,38,0,0,Inactive,Activate,QS 5,Sell
1B,Don Hurst,65,RS,1928,Philadelphia Phillies,53,105,105,59,51,0,0,Inactive,Activate,QS 25,Sell
SS,Bill Hunnefield,53,RS,1926,Chicago White Sox,66,50,63,68,46,0,0,Inactive,Activate,QS 5,Sell
RF,Cooper Hummel,59,2024 MLB,2024,San Francisco Giants,59,51,94,59,8,0,2,Inactive,Activate,Locked,
SS,Billy Hulen,48,RS,1896,Philadelphia Phillies,59,18,101,24,23,0,0,Inactive,Activate,QS 5,Sell
RP,Jared Hughes,68,Snapshot,2014,Pittsburgh Pirates,35,96,76,13,108,0,0,Inactive,Activate,QS 25,Sell
2B,Miller Huggins,68,Snapshot,1908,Cincinnati Reds,59,27,85,103,52,0,0,Inactive,Activate,QS 25,Sell
C,Sam Huff,77,2024 MLB,2024,Texas Rangers,64,94,69,60,452,0,2,Inactive,Activate,Locked,
SP,Dakota Hudson,63,2024 MLB,2024,Colorado Rockies,52,80,73,64,78,0,2,Inactive,Activate,Locked,
CL,John Hudek,68,RS,1994,Houston Astros,114,72,45,11,53,0,0,Inactive,Activate,QS 25,Sell
CL,Al Hrabosky,69,Snapshot,1978,Kansas City Royals,111,80,36,16,41,0,0,Inactive,Activate,QS 25,Sell
LF,Jack Howell,42,Snapshot,1987,California Angels,52,86,79,59,30,0,0,Inactive,Activate,QS 5,Sell
RF,Steve Hovley,68,RS,1969,Seattle Pilots,78,31,63,97,45,0,0,Inactive,Activate,QS 25,Sell
SP,Adrian Houser,72,2024 MLB,2024,New York Mets,73,78,80,65,424,0,2,Reserve,Deactivate,QS 100,Sell
SP,Charlie Hough,61,Snapshot,1984,Texas Rangers,62,74,60,83,118,0,2,Inactive,Activate,Locked,
RF,Sadie Houck,77,RS,1879,Boston Red Caps,72,82,54,69,278,0,0,Reserve,Deactivate,QS 100,Sell
1B,Dave Hostetler,40,RS,1982,Texas Rangers,45,97,75,40,21,0,0,Inactive,Activate,QS 5,Sell
1B,Rhys Hoskins,68,2024 MLB,2024,Milwaukee Brewers,64,88,86,54,53,0,2,Inactive,Activate,Locked,
1B,Sam Horn,40,RS,1987,Boston Red Sox,52,92,75,3,17,0,0,Inactive,Activate,QS 5,Sell
SP,Joe Horlen,89,Snapshot,1964,Chicago White Sox,59,99,75,84,2 030,0,0,Reserve,Deactivate,QS 1 000,Sell
SS,Joe Hoover,40,RS,1943,Detroit Tigers,54,51,56,69,16,0,0,Inactive,Activate,QS 5,Sell
RP,Brent Honeywell Jr.,46,2024 MLB,2024,Pittsburgh Pirates,75,65,70,20,8,0,2,Inactive,Activate,Locked,
RP,Tyler Holton,69,2024 MLB,2024,Detroit Tigers,72,74,85,24,52,0,2,Inactive,Activate,Locked,
RF,Tommy Holmes,82,SE,1945,Boston Braves,97,92,71,64,7 774,0,0,Active,Deactivate,QS 1 000,Sell
RP,Gavin Hollowell,50,2024 MLB,2024,Colorado Rockies,77,68,70,19,9,0,2,Inactive,Activate,Locked,
1B,Walter Holke,45,UnH,1919,Boston Braves,81,23,52,56,18,0,0,Inactive,Activate,QS 5,Sell
CF,Danny Hoffman,40,HaH,1905,Philadelphia Athletics,63,42,65,50,20,0,0,Inactive,Activate,QS 5,Sell
2B,Nico Hoerner,86,2024 MLB,2024,Chicago Cubs,79,44,63,93,2 421,0,2,Inactive,Activate,Locked,
SP,Bryan Hoeing,61,2024 MLB,2024,Miami Marlins,68,71,89,52,66,0,2,Inactive,Activate,Locked,
C,Ron Hodges,55,UnH,1982,New York Mets,54,67,99,64,16,0,0,Inactive,Activate,QS 5,Sell
SP,Luke Hochevar,57,UnH,2010,Kansas City Royals,52,74,64,62,119,0,1,Inactive,Activate,Locked,
3B,Butch Hobson,40,Snapshot,1978,Boston Red Sox,55,82,72,52,36,0,0,Inactive,Activate,QS 5,Sell
SP,Sean Hjelle,63,2024 MLB,2024,San Francisco Giants,65,78,74,55,43,0,2,Inactive,Activate,QS 25,Sell
SP,Sean Hjelle,63,2024 MLB,2024,San Francisco Giants,65,78,74,55,43,0,2,Inactive,Activate,Locked,
SP,Jason Hirsh,54,RS,2007,Colorado Rockies,52,69,53,63,18,0,0,Inactive,Activate,QS 5,Sell
LF,Chuck Hinton,45,RS,1961,Washington Senators,63,47,75,62,16,0,0,Inactive,Activate,QS 5,Sell
LF,Sam Hilliard,59,2024 MLB,2024,Colorado Rockies,58,77,76,88,10,0,2,Inactive,Activate,Locked,
2B,Chuck Hiller,73,Snapshot,1962,San Francisco Giants,77,26,66,88,256,0,0,Inactive,Activate,QS 100,Sell
RP,Tim Hill,47,2024 MLB,2024,Chicago White Sox,56,70,81,12,10,0,2,Inactive,Activate,Locked,
